coefficient,value,model_domain,model_version
SNPNE_NMCAID_NORIGDIS_NEF75_79,1.516,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF80_84,1.746,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF85_89,1.971,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF90_94,2.161,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF95_GT,2.161,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM0_34,1.276,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM35_44,1.276,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM45_54,1.498,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM55_59,1.63,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM60_64,1.673,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM65,0.98,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM66,0.98,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM67,1.02,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM68,1.082,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM69,1.14,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM70_74,1.345,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM75_79,1.581,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM80_84,1.832,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM85_89,2.095,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM90_94,2.351,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEM95_GT,2.351,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF0_34,1.776,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF35_44,1.776,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF45_54,2.01,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF55_59,2.095,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF60_64,2.126,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF65,1.375,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF66,1.375,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF67,1.483,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF68,1.559,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF69,1.576,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF70_74,1.789,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF75_79,1.98,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF80_84,2.194,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF85_89,2.49,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF90_94,2.68,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEF95_GT,2.68,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM0_34,1.533,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM35_44,1.533,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM45_54,1.854,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM55_59,2.041,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM60_64,2.167,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM65,1.525,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM66,1.525,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM67,1.646,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM68,1.646,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM69,1.646,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM70_74,1.967,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM75_79,2.14,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM80_84,2.272,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM85_89,2.63,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM90_94,2.63,CMS-HCC,C24
SNPNE_MCAID_NORIGDIS_NEM95_GT,2.63,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEF65,1.81,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEF66,1.81,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEF67,1.834,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEF68,1.834,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEF69,1.834,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEF70_74,2.006,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEF75_79,2.112,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEF80_84,2.476,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEF85_89,2.476,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEF90_94,2.476,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEF95_GT,2.476,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEM65,1.664,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEM66,1.667,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEM67,1.725,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEM68,1.74,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEM69,1.797,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEM70_74,1.935,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEM75_79,2.073,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEM80_84,2.349,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEM85_89,2.349,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEM90_94,2.349,CMS-HCC,C24
SNPNE_NMCAID_ORIGDIS_NEM95_GT,2.349,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEF65,2.183,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEF66,2.209,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEF67,2.213,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEF68,2.248,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEF69,2.336,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEF70_74,2.424,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEF75_79,2.562,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEF80_84,2.772,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEF85_89,2.772,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEF90_94,2.772,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEF95_GT,2.772,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEM65,2.173,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEM66,2.173,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEM67,2.179,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEM68,2.179,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEM69,2.179,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEM70_74,2.419,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEM75_79,2.509,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEM80_84,2.805,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEM85_89,2.805,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEM90_94,2.805,CMS-HCC,C24
SNPNE_MCAID_ORIGDIS_NEM95_GT,2.805,CMS-HCC,C24
DI_F0_34,0.618,ESRD,D21
DI_F35_44,0.567,ESRD,D21
DI_F45_54,0.522,ESRD,D21
DI_F55_59,0.535,ESRD,D21
DI_F60_64,0.553,ESRD,D21
DI_F65_69,0.635,ESRD,D21
DI_F70_74,0.653,ESRD,D21
DI_F75_79,0.658,ESRD,D21
DI_F80_84,0.671,ESRD,D21
DI_F85_89,0.671,ESRD,D21
DI_F90_94,0.671,ESRD,D21
DI_F95_GT,0.671,ESRD,D21
DI_M0_34,0.527,ESRD,D21
DI_M35_44,0.502,ESRD,D21
DI_M45_54,0.478,ESRD,D21
DI_M55_59,0.495,ESRD,D21
DI_M60_64,0.498,ESRD,D21
DI_M65_69,0.562,ESRD,D21
DI_M70_74,0.611,ESRD,D21
DI_M75_79,0.634,ESRD,D21
DI_M80_84,0.652,ESRD,D21
DI_M85_89,0.663,ESRD,D21
DI_M90_94,0.663,ESRD,D21
DI_M95_GT,0.663,ESRD,D21
DI_MCAID_Female_Aged,0.067,ESRD,D21
DI_MCAID_Female_NonAged,0.065,ESRD,D21
DI_MCAID_Male_Aged,0.122,ESRD,D21
DI_MCAID_Male_NonAged,0.09,ESRD,D21
DI_OriginallyDisabled_Female,0,ESRD,D21
DI_OriginallyDisabled_Male,0,ESRD,D21
DI_Originally_ESRD_Female,-0.078,ESRD,D21
DI_Originally_ESRD_Male,-0.049,ESRD,D21
DI_HCC1,0.154,ESRD,D21
DI_HCC2,0.081,ESRD,D21
DI_HCC6,0.052,ESRD,D21
DI_HCC8,0.295,ESRD,D21
DI_HCC9,0.169,ESRD,D21
DI_HCC10,0.136,ESRD,D21
DI_HCC11,0.076,ESRD,D21
DI_HCC12,0.046,ESRD,D21
DI_HCC17,0.244,ESRD,D21
DI_HCC18,0.091,ESRD,D21
DI_HCC19,0.066,ESRD,D21
DI_HCC21,0.055,ESRD,D21
DI_HCC22,0.073,ESRD,D21
DI_HCC23,0.013,ESRD,D21
DI_HCC27,0.204,ESRD,D21
DI_HCC28,0.086,ESRD,D21
DI_HCC29,0.069,ESRD,D21
DI_HCC33,0.072,ESRD,D21
DI_HCC34,0.073,ESRD,D21
DI_HCC35,0.053,ESRD,D21
DI_HCC39,0.061,ESRD,D21
DI_HCC40,0.072,ESRD,D21
DI_HCC46,0.18,ESRD,D21
DI_HCC47,0.097,ESRD,D21
DI_HCC48,0.059,ESRD,D21
DI_HCC51,0.097,ESRD,D21
DI_HCC52,0.045,ESRD,D21
DI_HCC54,0.048,ESRD,D21
DI_HCC55,0.048,ESRD,D21
DI_HCC57,0.142,ESRD,D21
DI_HCC58,0.091,ESRD,D21
DI_HCC70,0.274,ESRD,D21
DI_HCC71,0.2,ESRD,D21
DI_HCC72,0.102,ESRD,D21
DI_HCC73,0.117,ESRD,D21
DI_HCC74,0.036,ESRD,D21
DI_HCC75,0.059,ESRD,D21
DI_HCC76,0.062,ESRD,D21
DI_HCC77,0.069,ESRD,D21
DI_HCC78,0.065,ESRD,D21
DI_HCC79,0.066,ESRD,D21
DI_HCC80,0.043,ESRD,D21
DI_HCC82,0.242,ESRD,D21
DI_HCC83,0.114,ESRD,D21
DI_HCC84,0.044,ESRD,D21
DI_HCC85,0.082,ESRD,D21
DI_HCC86,0.131,ESRD,D21
DI_HCC87,0.116,ESRD,D21
DI_HCC88,0.048,ESRD,D21
DI_HCC96,0.093,ESRD,D21
DI_HCC99,0.078,ESRD,D21
DI_HCC100,0.078,ESRD,D21
DI_HCC103,0.086,ESRD,D21
DI_HCC104,0.077,ESRD,D21
DI_HCC106,0.321,ESRD,D21
DI_HCC107,0.126,ESRD,D21
DI_HCC108,0.065,ESRD,D21
DI_HCC110,0.072,ESRD,D21
DI_HCC111,0.072,ESRD,D21
DI_HCC112,0.066,ESRD,D21
DI_HCC114,0.063,ESRD,D21
DI_HCC115,0.013,ESRD,D21
DI_HCC122,0,ESRD,D21
DI_HCC124,0.055,ESRD,D21
DI_HCC134,0,ESRD,D21
DI_HCC135,0,ESRD,D21
DI_HCC136,0,ESRD,D21
DI_HCC137,0,ESRD,D21
DI_HCC138,0,ESRD,D21
DI_HCC139,0,ESRD,D21
DI_HCC140,0,ESRD,D21
DI_HCC141,0,ESRD,D21
DI_HCC157,0.277,ESRD,D21
DI_HCC158,0.161,ESRD,D21
DI_HCC159,0.147,ESRD,D21
DI_HCC160,0.147,ESRD,D21
DI_HCC161,0.119,ESRD,D21
DI_HCC162,0.042,ESRD,D21
DI_HCC166,0.043,ESRD,D21
DI_HCC167,0.017,ESRD,D21
DI_HCC169,0.065,ESRD,D21
DI_HCC170,0.05,ESRD,D21
DI_HCC173,0.042,ESRD,D21
DI_HCC176,0,ESRD,D21
DI_HCC186,0.154,ESRD,D21
DI_HCC188,0.078,ESRD,D21
DI_HCC189,0.09,ESRD,D21
DI_SEPSIS_CARD_RESP_FAIL,0.038,ESRD,D21
DI_CANCER_IMMUNE,0.025,ESRD,D21
DI_DIABETES_CHF,0,ESRD,D21
DI_CHF_COPD,0.022,ESRD,D21
DI_COPD_CARD_RESP_FAIL,0.024,ESRD,D21
DI_NONAGED_HCC6,0.073,ESRD,D21
DI_NONAGED_HCC34,0.113,ESRD,D21
DI_NONAGED_HCC46,0.157,ESRD,D21
DI_NONAGED_HCC54,0.133,ESRD,D21
DI_NONAGED_HCC55,0.122,ESRD,D21
DI_NONAGED_HCC110,0.298,ESRD,D21
DI_NONAGED_HCC176,0.04,ESRD,D21
GC_F0_34,0.196,ESRD,D21
GC_F35_44,0.219,ESRD,D21
GC_F45_54,0.256,ESRD,D21
GC_F55_59,0.306,ESRD,D21
GC_F60_64,0.36,ESRD,D21
GC_F65_69,0.291,ESRD,D21
GC_F70_74,0.35,ESRD,D21
GC_F75_79,0.406,ESRD,D21
GC_F80_84,0.48,ESRD,D21
GC_F85_89,0.59,ESRD,D21
GC_F90_94,0.724,ESRD,D21
GC_F95_GT,0.737,ESRD,D21
GC_M0_34,0.067,ESRD,D21
GC_M35_44,0.076,ESRD,D21
GC_M45_54,0.149,ESRD,D21
GC_M55_59,0.226,ESRD,D21
GC_M60_64,0.297,ESRD,D21
GC_M65_69,0.274,ESRD,D21
GC_M70_74,0.353,ESRD,D21
GC_M75_79,0.425,ESRD,D21
GC_M80_84,0.499,ESRD,D21
GC_M85_89,0.625,ESRD,D21
GC_M90_94,0.775,ESRD,D21
GC_M95_GT,0.914,ESRD,D21
GC_MCAID_Female_Aged,0.275,ESRD,D21
GC_MCAID_Female_NonAged,0.137,ESRD,D21
GC_MCAID_Male_Aged,0.367,ESRD,D21
GC_MCAID_Male_NonAged,0.19,ESRD,D21
GC_OriginallyDisabled_Female,0.184,ESRD,D21
GC_OriginallyDisabled_Male,0.115,ESRD,D21
GC_HCC1,0.35,ESRD,D21
GC_HCC2,0.428,ESRD,D21
GC_HCC6,0.426,ESRD,D21
GC_HCC8,2.627,ESRD,D21
GC_HCC9,0.975,ESRD,D21
GC_HCC10,0.668,ESRD,D21
GC_HCC11,0.298,ESRD,D21
GC_HCC12,0.156,ESRD,D21
GC_HCC17,0.243,ESRD,D21
GC_HCC18,0.243,ESRD,D21
GC_HCC19,0.094,ESRD,D21
GC_HCC21,0.593,ESRD,D21
GC_HCC22,0.278,ESRD,D21
GC_HCC23,0.234,ESRD,D21
GC_HCC27,1.028,ESRD,D21
GC_HCC28,0.384,ESRD,D21
GC_HCC29,0.243,ESRD,D21
GC_HCC33,0.285,ESRD,D21
GC_HCC34,0.282,ESRD,D21
GC_HCC35,0.362,ESRD,D21
GC_HCC39,0.468,ESRD,D21
GC_HCC40,0.398,ESRD,D21
GC_HCC46,1.325,ESRD,D21
GC_HCC47,0.688,ESRD,D21
GC_HCC48,0.234,ESRD,D21
GC_HCC51,0.643,ESRD,D21
GC_HCC52,0.328,ESRD,D21
GC_HCC54,0.352,ESRD,D21
GC_HCC55,0.352,ESRD,D21
GC_HCC57,0.442,ESRD,D21
GC_HCC58,0.26,ESRD,D21
GC_HCC70,1.112,ESRD,D21
GC_HCC71,0.943,ESRD,D21
GC_HCC72,0.456,ESRD,D21
GC_HCC73,1.03,ESRD,D21
GC_HCC74,0,ESRD,D21
GC_HCC75,0.284,ESRD,D21
GC_HCC76,0.544,ESRD,D21
GC_HCC77,0.546,ESRD,D21
GC_HCC78,0.583,ESRD,D21
GC_HCC79,0.221,ESRD,D21
GC_HCC80,0.184,ESRD,D21
GC_HCC82,1.231,ESRD,D21
GC_HCC83,0.54,ESRD,D21
GC_HCC84,0.345,ESRD,D21
GC_HCC85,0.336,ESRD,D21
GC_HCC86,0.258,ESRD,D21
GC_HCC87,0.258,ESRD,D21
GC_HCC88,0.129,ESRD,D21
GC_HCC96,0.303,ESRD,D21
GC_HCC99,0.252,ESRD,D21
GC_HCC100,0.252,ESRD,D21
GC_HCC103,0.467,ESRD,D21
GC_HCC104,0.307,ESRD,D21
GC_HCC106,1.385,ESRD,D21
GC_HCC107,0.431,ESRD,D21
GC_HCC108,0.271,ESRD,D21
GC_HCC110,0.494,ESRD,D21
GC_HCC111,0.313,ESRD,D21
GC_HCC112,0.281,ESRD,D21
GC_HCC114,0.596,ESRD,D21
GC_HCC115,0.155,ESRD,D21
GC_HCC122,0.248,ESRD,D21
GC_HCC124,0.512,ESRD,D21
GC_HCC134,0,ESRD,D21
GC_HCC135,0,ESRD,D21
GC_HCC136,0,ESRD,D21
GC_HCC137,0,ESRD,D21
GC_HCC138,0,ESRD,D21
GC_HCC139,0,ESRD,D21
GC_HCC140,0,ESRD,D21
GC_HCC141,0,ESRD,D21
GC_HCC157,2.492,ESRD,D21
GC_HCC158,1.285,ESRD,D21
GC_HCC159,0.955,ESRD,D21
GC_HCC160,0.799,ESRD,D21
GC_HCC161,0.503,ESRD,D21
GC_HCC162,0.37,ESRD,D21
GC_HCC166,0.184,ESRD,D21
GC_HCC167,0.184,ESRD,D21
GC_HCC169,0.456,ESRD,D21
GC_HCC170,0.35,ESRD,D21
GC_HCC173,0.29,ESRD,D21
GC_HCC176,0.599,ESRD,D21
GC_HCC186,0.075,ESRD,D21
GC_HCC188,0.643,ESRD,D21
GC_HCC189,0.654,ESRD,D21
GC_SEPSIS_CARD_RESP_FAIL,0.133,ESRD,D21
GC_CANCER_IMMUNE,0.773,ESRD,D21
GC_DIABETES_CHF,0.16,ESRD,D21
GC_CHF_COPD,0.227,ESRD,D21
GC_CHF_RENAL,0,ESRD,D21
GC_COPD_CARD_RESP_FAIL,0.453,ESRD,D21
GC_NONAGED_HCC6,0.561,ESRD,D21
GC_NONAGED_HCC34,0.534,ESRD,D21
GC_NONAGED_HCC46,2.791,ESRD,D21
GC_NONAGED_HCC54,0.549,ESRD,D21
GC_NONAGED_HCC55,0.066,ESRD,D21
GC_NONAGED_HCC110,2.746,ESRD,D21
GC_NONAGED_HCC176,0,ESRD,D21
GI_F0_34,0.848,ESRD,D21
GI_F35_44,1.061,ESRD,D21
GI_F45_54,0.992,ESRD,D21
GI_F55_59,1.014,ESRD,D21
GI_F60_64,1.017,ESRD,D21
GI_F65_69,1.212,ESRD,D21
GI_F70_74,1.12,ESRD,D21
GI_F75_79,0.988,ESRD,D21
GI_F80_84,0.861,ESRD,D21
GI_F85_89,0.78,ESRD,D21
GI_F90_94,0.651,ESRD,D21
GI_F95_GT,0.484,ESRD,D21
GI_M0_34,1.055,ESRD,D21
GI_M35_44,0.956,ESRD,D21
GI_M45_54,0.924,ESRD,D21
GI_M55_59,0.971,ESRD,D21
GI_M60_64,1.013,ESRD,D21
GI_M65_69,1.267,ESRD,D21
GI_M70_74,1.306,ESRD,D21
GI_M75_79,1.295,ESRD,D21
GI_M80_84,1.188,ESRD,D21
GI_M85_89,1.101,ESRD,D21
GI_M90_94,0.969,ESRD,D21
GI_M95_GT,0.799,ESRD,D21
GI_MCAID,0.074,ESRD,D21
GI_ORIGDS,0,ESRD,D21
GI_HCC1,1.708,ESRD,D21
GI_HCC2,0.274,ESRD,D21
GI_HCC6,0.568,ESRD,D21
GI_HCC8,1.289,ESRD,D21
GI_HCC9,0.604,ESRD,D21
GI_HCC10,0.451,ESRD,D21
GI_HCC11,0.284,ESRD,D21
GI_HCC12,0.194,ESRD,D21
GI_HCC17,0.373,ESRD,D21
GI_HCC18,0.373,ESRD,D21
GI_HCC19,0.165,ESRD,D21
GI_HCC21,0.252,ESRD,D21
GI_HCC22,0.429,ESRD,D21
GI_HCC23,0.359,ESRD,D21
GI_HCC27,0.863,ESRD,D21
GI_HCC28,0.479,ESRD,D21
GI_HCC29,0.479,ESRD,D21
GI_HCC33,0.346,ESRD,D21
GI_HCC34,0.422,ESRD,D21
GI_HCC35,0.341,ESRD,D21
GI_HCC39,0.375,ESRD,D21
GI_HCC40,0.274,ESRD,D21
GI_HCC46,0.766,ESRD,D21
GI_HCC47,0.549,ESRD,D21
GI_HCC48,0.173,ESRD,D21
GI_HCC51,0,ESRD,D21
GI_HCC52,0,ESRD,D21
GI_HCC54,0.112,ESRD,D21
GI_HCC55,0.112,ESRD,D21
GI_HCC57,0.217,ESRD,D21
GI_HCC58,0.217,ESRD,D21
GI_HCC70,0.512,ESRD,D21
GI_HCC71,0.435,ESRD,D21
GI_HCC72,0.256,ESRD,D21
GI_HCC73,0.446,ESRD,D21
GI_HCC74,0,ESRD,D21
GI_HCC75,0.323,ESRD,D21
GI_HCC76,0.296,ESRD,D21
GI_HCC77,0,ESRD,D21
GI_HCC78,0.141,ESRD,D21
GI_HCC79,0.065,ESRD,D21
GI_HCC80,0,ESRD,D21
GI_HCC82,1.602,ESRD,D21
GI_HCC83,0.466,ESRD,D21
GI_HCC84,0.311,ESRD,D21
GI_HCC85,0.186,ESRD,D21
GI_HCC86,0.392,ESRD,D21
GI_HCC87,0.392,ESRD,D21
GI_HCC88,0.392,ESRD,D21
GI_HCC96,0.247,ESRD,D21
GI_HCC99,0.105,ESRD,D21
GI_HCC100,0.105,ESRD,D21
GI_HCC103,0,ESRD,D21
GI_HCC104,0,ESRD,D21
GI_HCC106,0.754,ESRD,D21
GI_HCC107,0.3,ESRD,D21
GI_HCC108,0.086,ESRD,D21
GI_HCC110,0.435,ESRD,D21
GI_HCC111,0.299,ESRD,D21
GI_HCC112,0.299,ESRD,D21
GI_HCC114,0.143,ESRD,D21
GI_HCC115,0.143,ESRD,D21
GI_HCC122,0.388,ESRD,D21
GI_HCC124,0.209,ESRD,D21
GI_HCC134,0,ESRD,D21
GI_HCC135,0,ESRD,D21
GI_HCC136,0,ESRD,D21
GI_HCC137,0,ESRD,D21
GI_HCC138,0,ESRD,D21
GI_HCC139,0,ESRD,D21
GI_HCC140,0,ESRD,D21
GI_HCC141,0,ESRD,D21
GI_HCC157,0.968,ESRD,D21
GI_HCC158,0.378,ESRD,D21
GI_HCC159,0.225,ESRD,D21
GI_HCC160,0.225,ESRD,D21
GI_HCC161,0.225,ESRD,D21
GI_HCC162,0,ESRD,D21
GI_HCC166,0,ESRD,D21
GI_HCC167,0,ESRD,D21
GI_HCC169,0.237,ESRD,D21
GI_HCC170,0,ESRD,D21
GI_HCC173,0.061,ESRD,D21
GI_HCC176,0.599,ESRD,D21
GI_HCC186,0.075,ESRD,D21
GI_HCC188,0.482,ESRD,D21
GI_HCC189,0.339,ESRD,D21
GI_CHF_COPD,0.19,ESRD,D21
GI_COPD_CARD_RESP_FAIL,0.416,ESRD,D21
GI_SEPSIS_PRESSURE_ULCER,0.226,ESRD,D21
GI_SEPSIS_ARTIF_OPENINGS,0.452,ESRD,D21
GI_ART_OPENINGS_PRESSURE_ULCER,0.295,ESRD,D21
GI_DIABETES_CHF,0.159,ESRD,D21
GI_COPD_ASP_SPEC_BACT_PNEUM,0.22,ESRD,D21
GI_ASP_SPEC_BACT_PNEUM_PRES_ULC,0.252,ESRD,D21
GI_SEPSIS_ASP_SPEC_BACT_PNEUM,0.347,ESRD,D21
GI_SCHIZOPHRENIA_COPD,0.402,ESRD,D21
GI_SCHIZOPHRENIA_CHF,0.122,ESRD,D21
GI_SCHIZOPHRENIA_SEIZURES,0.541,ESRD,D21
